Keyword,Count
campus,200
food,192
options,105
cafeteria,84
expensive,81
limited,63
good,62
food campus,59
healthy,49
healthy options,48
variety,41
need,39
food available,37
vending machines,33
students,31
fast food,31
vending,30
lunch,29
food options,29
food pantry,28
available,25
better,24
campus food,23
meals,23
choices,22
foods,22
eat campus,22
bring food,22
food availability,21
pantry,19
wish,18
healthier,18
selection,18
purchase food,17
affordable,17
options campus,16
great,16
availability,16
cost,16
unhealthy,16
available campus,16
healthy food,16
food trucks,14
food home,14
meal,13
buy food,13
quality,13
eat,13
nice,13
bring lunch,13
limited options,12
ok,12
cafe,11
need options,11
like,11
availability campus,10
salads,10
don,10
cnm,10
bring,10
wish options,10
junk food,9
options food,9
machines,9
nutritious,9
food choices,9
needs,9
healthier options,9
little,9
poor,9
faculty,8
need cafeteria,8
main campus,8
itâ,8
vegetarian,8
dining,8
high,7
available food,7
salad bar,7
needed,7
nutritious food,7
school,7
campus expensive,7
think,7
affordable options,7
price,7
unm,7
adequate,6
bookstore,6
salad,6
terrible,6
need healthy,6
expensive food,6
prices,6
pack lunch,6
pricey,6
unhealthy food,6
food quality,6
food cafeteria,6
options healthy,6
vendor,6
campus bring,6
variety healthy,6
food expensive,6
food services,6
fresh food,6
items,6
idea,6
limited hours,6
starbucks,6
hours,6
variety food,6
improve,5
options students,5
location,5
staff,5
kitchen,5
decent,5
faculty staff,5
don cafeteria,5
meals campus,5
food vendor,5
taste,5
just,5
small,5
foods available,5
limited choices,5
campus cafeteria,5
getting better,5
food vending,5
limited food,5
lack options,5
better variety,5
fresh,5
pack,5
cafeteria campus,5
use,5
pretty,5
don eat,5
costs,5
minimal,5
quality food,5
like food,4
work,4
options cafeteria,4
scarce,4
food students,4
good options,4
small campus,4
offered,4
food service,4
campus needs,4
home,4
getting,4
choice,4
good variety,4
students faculty,4
mary kitchen,4
options available,4
campus options,4
meal plan,4
university club,4
nutritious meals,4
itâ limited,4
available cafeteria,4
food court,4
gluten free,4
options expensive,4
good food,4
readily available,4
access,4
healthier choices,4
campus vending,4
sufficient,4
students staff,4
frozen meals,4
fresh fruit,4
campus students,4
convenient,4
way,4
fast,4
fine,4
campus dining,4
campuses,4
options limited,4
dining hall,4
student,4
vegan,4
cafeteria open,4
cheaper options,4
campus great,4
limited selection,4
okay,4
access food,4
nutritious meal,4
fair,3
healthy choices,3
vegetarian options,3
street food,3
options unhealthy,3
need healthier,3
restaurants,3
healthy foods,3
available expensive,3
improvement,3
hospital,3
campus available,3
cheaper,3
nice food,3
affordable healthy,3
need variety,3
campus option,3
campus small,3
gluten,3
excellent,3
priced,3
available staff,3
use healthy,3
discount,3
bought food,3
vending machine,3
rarely eat,3
pantry campus,3
satellite campus,3
processed,3
offer variety,3
processed food,3
plenty,3
limited expensive,3
helpful,3
wonderful,3
accessible,3
campus kitchen,3
inflation,3
food items,3
fried,3
staff faculty,3
cost high,3
insufficient,3
isn food,3
pantry students,3
staff students,3
covid,3
healthy option,3
improved,3
isn,3
cafeteria closed,3
work campus,3
vegetables,3
wish food,3
fresh produce,3
lower cost,3
afford,3
slim,3
food truck,3
cafeteria students,3
food healthy,3
open,3
better food,3
meal cafeteria,3
poor quality,3
nutrition,3
students need,3
food selections,3
options needed,3
choices cafeteria,3
good selection,3
delicious,3
extremely limited,3
buy meals,3
like variety,3
food variety,3
restaurant,3
lacking,3
budget,3
free food,3
food supply,3
costly,3
sfcc,3
expensive campus,3
hours operation,3
food allergies,3
needs healthier,3
pretty good,3
like options,3
grocery,2
service,2
machines westside,2
available healthy,2
wish healthier,2
minimal selection,2
think great,2
probably,2
options affordable,2
machines available,2
wish affordable,2
food good,2
highly,2
lunch campus,2
remotely,2
work remotely,2
unm taos,2
pay,2
variety foods,2
la montanita,2
closed,2
better quality,2
la posada,2
places,2
unm hospital,2
campus rarely,2
wish variety,2
kids campus,2
fresh foods,2
limited campus,2
school cafeteria,2
food generally,2
easily available,2
average,2
need fresh,2
hope,2
offer healthy,2
nice cafeteria,2
pantry available,2
wide variety,2
available price,2
sure food,2
cafeteria closes,2
broader,2
little high,2
hot food,2
lots options,2
pantry just,2
variety needed,2
especially students,2
safe,2
school students,2
