Keyword,Count
work,63
doesn,39
stress,30
students,26
isn,26
food,24
focus,22
housing,19
worry,19
hungry,18
anxiety,12
affects,12
tired,11
housing insecurity,11
food housing,11
affect work,10
anxious,10
hasn,9
food insecurity,9
stressed,8
concentrate,8
makes,8
worrying,8
job,8
rent,8
doesn affect,7
eat,7
work time,6
hard,6
affecting work,6
affects work,6
lunch,6
affect,6
pay bills,6
hard focus,6
mortgage,5
worry students,5
afford,5
jobs,5
feel,5
moment,4
hard concentrate,4
meals,4
doesnâ,4
time,4
housing insecure,4
inflation,4
expensive,4
concentration,4
impact,4
bills,4
class,4
lack food,4
distracted,4
classes,4
impacts students,4
currently,4
food prices,4
hungry tired,4
hungry work,4
insecurity affects,4
affecting,4
prices,3
paying bills,3
difficult,3
harder,3
insecure,3
food safety,3
living situation,3
working,3
feel insecure,3
good,3
work food,3
healthy,3
hangry,3
make,3
don,3
don let,3
buy food,3
yes,3
low,3
difficult focus,3
want work,3
food work,3
just,3
lunches,3
miss work,3
students ability,3
makes hard,3
home,3
depression,3
affected,3
causes,3
mental health,3
isnâ,3
effects,3
focus work,3
health,3
affects mental,2
stress causes,2
health impact,2
impact work,2
eating,2
food campus,2
resources,2
making difficult,2
students food,2
performing,2
work students,2
rentals,2
rising,2
believe affects,2
unstable housing,2
grocery,2
impacts,2
going,2
mental,2
mental stress,2
doesn moment,2
prices increased,2
affect ability,2
paying job,2
better paying,2
currently affecting,2
work hungry,2
worrying paying,2
higher paying,2
stomach,2
cook,2
affects students,2
work affected,2
previous,2
housing food,2
times,2
ramen,2
causes stress,2
basic necessities,2
definitely,2
living,2
lack concentration,2
problems,2
campus,2
isn currently,2
directly affect,2
effects students,2
paycheck,2
low energy,2
lack energy,2
low income,2
food expensive,2
energy,2
constantly worrying,2
let affect,2
foods,2
doesn really,2
unsafe,2
income,2
stress makes,2
pay,2
focused,2
ends meet,2
looking work,2
meal,2
stress anxiety,2
food need,2
worry stress,2
budget,2
worried,2
looking,2
work harder,2
time jobs,2
safety,2
problem,2
feel anxious,2
makes feel,2
insecurity,2
mind work,2
mind,2
hasnâ,2
lose sleep,2
sleep,2
didn,2
10,2
teach,2
food makes,2
stress level,2
cost living,2
pay rent,2
lack,2
hunger,2
making,2
anxiety stress,2
sick,2
make money,2
able afford,2
increasing food,2
stressful,2
buy,2
worrying things,2
think eat,2
feeling,2
distracting,2
housing security,2
makes anxious,2
afford rent,2
leave,2
little,2
tasks,2
spending time,1
students greatly,1
greatly,1
tired work,1
concerns,1
community,1
worry week,1
lunches ramen,1
time working,1
spending,1
like,1
day,1
dual income,1
income house,1
concerns need,1
ramen egg,1
students community,1
stable housing,1
depressing,1
students paying,1
worry ends,1
effects food,1
using work,1
paying attention,1
pantry embarrassing,1
available resources,1
attention,1
paying,1
sick leave,1
health stress,1
pantry,1
resources network,1
work resources,1
workload mental,1
affected workload,1
fast,1
fast food,1
like day,1
stressful exhausting,1
feel like,1
work thankfully,1
prices high,1
mortgage food,1
things currently,1
overworked anxious,1
tired overworked,1
bills gas,1
tiredness,1
worrying money,1
food cause,1
12,1
cause weakness,1
safe,1
weakness tiredness,1
stretch income,1
concentrate work,1
income paycheck,1
money difficult,1
making work,1
food plentiful,1
rental mortgage,1
students colleagues,1
stressed worried,1
difficult ahead,1
housing safe,1
work positive,1
incredibly lucky,1
unpacking tired,1
life,1
quality life,1
feel hopeless,1
embarrassed living,1
egg affects,1
embarrassed,1
situation eat,1
stressed bills,1
focus stressed,1
feel tired,1
leave work,1
sleep stressed,1
crap lunches,1
colleagues,1
colleagues community,1
food pantry,1
repossession choose,1
concentrate worrying,1
professor salaries,1
influences work,1
affect colleagues,1
tension,1
anxiety tension,1
stress missed,1
missed payments,1
mortgage distracting,1
payments mortgage,1
students classes,1
classes cause,1
issue students,1
living people,1
uneasy,1
uneasy living,1
feel uneasy,1
salaries fallen,1
professor,1
work location,1
paid better,1
timing,1
attend,1
attend class,1
environmen,1
want quiet,1
environmen food,1
quiet environmen,1
scarce,1
definitely mind,1
constantly,1
mind constantly,1
impacts depression,1
anxious cost,1
salaries,1
second job,1
handle commute,1
couldn car,1
make work,1
expensive don,1
checkbook,1
general,1
level,1
general stress,1
doesn thankfully,1
thankfully,1
parking work,1
having pay,1
parking breakfast,1
car repossession,1
food parking,1
choosing food,1
borrow,1
borrow money,1
repossession,1
luxury buying,1
directly affects,1
hasn anymore,1
affect directly,1
job changed,1
stress budget,1
lost job,1
salary,1
salary gets,1
life salary,1
month stress,1
privileged,1
privileged life,1
insecurity affecting,1
budget checkbook,1
affordable,1
new position,1
position affordable,1
causes worry,1
scarce need,1
tired focus,1
insufficient funds,1
paycheck paycheck,1
future,1
anxious future,1
concerned,1
concerned students,1
students young,1
affected greatly,1
information share,1
provide,1
serve experience,1
anxious regrets,1
regrets low,1
having masters,1
low paying,1
doesn problems,1
money,1
living paycheck,1
just waiting,1
necessities paid,1
waiting shoe,1
doesn make,1
assess develop,1
policies,1
work assess,1
policies programming,1
develop policies,1
care families,1
obstacles,1
obstacles makes,1
students struggle,1
struggle obstacles,1
apartment significantly,1
commute,1
increased commute,1
focus concentrate,1
worry money,1
focus worry,1
yes constantly,1
cost transportation,1
faculty,1
money supplement,1
stressed thinking,1
supplement faculty,1
faculty income,1
seriously,1
rentals scarce,1
makes seriously,1
luckily,1
luckily doesn,1
need space,1
affect worry,1
concentration focus,1
funds basic,1
funds,1
work does,1
does worry,1
harder teach,1
partake,1
worrying cost,1
attire,1
work business,1
struggled,1
appropriate attire,1
business appropriate,1
energy hard,1
affects doing,1
work lunches,1
lunches partake,1
increases,1
increases stress,1
just affects,1
work thinking,1
affects information,1
prices anxiety,1
meet concern,1
groceries,1
money groceries,1
meals work,1
business hours,1
mainly working,1
working business,1
work family,1
feeling worried,1
case focus,1
mild,1
mild case,1
mucho,1
leave home,1
worry leave,1
focus making,1
meet work,1
groceries means,1
means meals,1
organizations provide,1
focus stomach,1
work keeps,1
work helps,1
mildly,1
secure,1
faculty help,1
free nutritious,1
nutritious meals,1
meals faculty,1
remote work,1
campus area,1
living campus,1
housing rates,1
headaches light,1
stomach usually,1
usually headaches,1
local organizations,1
partnerships local,1
energy worrying,1
beverages,1
lunch beverages,1
bring lunch,1
don believe,1
lunch wish,1
lunch try,1
eating lunch,1
skip eating,1
eat lunch,1
students making,1
depend household,1
household,1
healthy people,1
staying healthy,1
poco,1
stress life,1
bring,1
100 work,1
community partnerships,1
time isn,1
reaching client,1
lack transportation,1
accessibility,1
accessibility difficulty,1
client accessibility,1
staffing,1
requirements decrease,1
budget cuts,1
staffing budget,1
staffing requirements,1
increased housing,1
necessities,1
necessities example,1
rising cost,1
fine,1
helps,1
energy work,1
concern,1
looking food,1
preparation class,1
class status,1
class preparation,1
affects class,1
teaching,1
affects teaching,1
quality,1
worry food,1
food quality,1
options mean,1
choices harder,1
limited options,1
food choices,1
limited food,1
challange,1
food spend,1
concentration work,1
lunch challange,1
work worried,1
neighborhood unsafe,1
hard work,1
increase,1
increase work,1
worry salary,1
salary increase,1
home food,1
work sick,1
causes high,1
levels stress,1
concentrate causes,1
causes anxiety,1
people work,1
worked increasing,1
increasing income,1
bringing,1
bringing lunch,1
eat smaller,1
focus tasks,1
store,1
consider store,1
store buy,1
mas,1
trabajar,1
necesito,1
trabajar mas,1
necesito trabajar,1
food bring,1
bring food,1
aug,1
10 aug,1
portions,1
smaller portions,1
just eat,1
consider,1
leave early,1
thinking,1
attend work,1
isn moment,1
time worrying,1
worrying thinking,1
lose,1
causes lose,1
considering,1
position make,1
leaving current,1
leaving,1
considering leaving,1
health lack,1
anxiety depression,1
depression lack,1
late,1
ba late,1
constant worry,1
student,1
ability student,1
nutritious food,1
experience,1
didnâ experience,1
outside work,1
work hours,1
salary reflect,1
wage,1
wage salary,1
work adjunct,1
don house,1
adjunct position,1
skipping,1
skipping meals,1
buy need,1
rise food,1
food buy,1
didnâ,1
chronic health,1
housing distract,1
chronic diseases,1
make panic,1
food unsafe,1
unsafe food,1
unsafe housing,1
rent children,1
need housing,1
housing shortage,1
don problems,1
negatively,1
poorly,1
effectively,1
prevent,1
working effectively,1
prevent working,1
moderate,1
distract pay,1
worrying food,1
students temporary,1
hospital days,1
bad meal,1
didn affect,1
home constantly,1
cost housing,1
safety home,1
housing safety,1
ability focus,1
focus lack,1
students class,1
tired students,1
attention focused,1
focused home,1
home life,1
lack attention,1
really,1
meal hospital,1
hospital,1
simply,1
cause anxiety,1
simply need,1
position,1
need paid,1
paid position,1
engage classes,1
going pay,1
focused going,1
worried doing,1
job rejections,1
going fired,1
diet ve,1
diet,1
sick easily,1
limited diet,1
cause,1
comfortable work,1
comfortable,1
work home,1
insecurities related,1
fatigue,1
separate fatigue,1
great,1
great impact,1
instability lack,1
