Topic,Count,Name,Representation,Representative_Docs
-1,74,-1_poor_price_affordable_high,"['poor', 'price', 'affordable', 'high', 'times', 'availability', 'convenient', 'little high', 'available times', 'selection']","['the price is a little high.', 'poor selection and poor quality', 'basically a good deal still. quality has decreased in relation to covid and inflation.']"
0,843,0_food_campus_options_healthy,"['food', 'campus', 'options', 'healthy', 'cafeteria', 'students', 'available', 'eat', 'food campus', 'don']","['we need more options\nhealthy options are expensive', 'we need to have other options healthy options for students staff and faculty.', 'i bring my own food to campus']"
1,62,1_options_options options_need options_need,"['options', 'options options', 'need options', 'need', 'wish options', 'choices', 'selection', 'wish', 'options wish', 'choices need']","['need more options', 'we need more options', 'need more options']"
2,24,2_options_affordable options_affordable_pricey,"['options', 'affordable options', 'affordable', 'pricey', 'available lower', 'cost options', 'slim', 'expensive available', 'cost', 'expensive options']","['decent options available but as a staff person, often the cost is higher than i would like to be paying', 'we need more options and more affordable options.', 'it is easily available but lower cost options would be welcome.']"
3,23,3_good good_good_good fair_fair,"['good good', 'good', 'good fair', 'fair', 'good avai', 'fair good', 'excellent good', 'avai good', 'avai', 'good excellent']","['good', 'good', 'good']"
4,23,4_better_getting better_improve_getting,"['better', 'getting better', 'improve', 'getting', 'improved', 'better getting', 'improve better', 'needs improve', 'needs', 'improved sucks']","[""it's getting better"", 'it is getting better', ""it's getting better""]"
5,23,5_variety_better variety_needed wish_wish variety,"['variety', 'better variety', 'needed wish', 'wish variety', 'greater variety', 'variety variety', 'little variety', 'variety needed', 'greater', 'broader']","['better variety is needed', 'could have more and better variety.', 'there could be more variety']"
6,21,6_expensive_expensive expensive_high expensive_high,"['expensive', 'expensive expensive', 'high expensive', 'high', 'offered near', 'staff expensive', 'cost relatively', 'cnm nice', 'difficult justify', 'given']","['it is expensive', 'its expensive', 'expensive, but everywhere is.']"
7,19,7_good_good itâ_think good_good good,"['good', 'good itâ', 'think good', 'good good', 'itâ', 'think', 'wonderful size', 'good think', 'incredibly wonderful', 'little discount']","['it is good.', ""it's good"", 'its good']"
8,19,8_expensive_expensive expensive_expensive affordable_sparse expensive,"['expensive', 'expensive expensive', 'expensive affordable', 'sparse expensive', 'expensive minimal', 'minimal expensive', 'inexpensive bit', 'okay better', 'pretty expensive', 'expensive sparse']","['expensive', 'expensive', 'very expensive']"
9,16,9_availability_availability available_available_somewhat,"['availability', 'availability available', 'available', 'somewhat', 'addressed', 'availability purchase', 'available money', 'addressed available', 'afford available', 'availability addressed']","['available but somewhat expensive', 'availability is great, prices are somewhat high.', 'lack of availability to purchase']"
10,14,10_good_good good_decent_pretty good,"['good', 'good good', 'decent', 'pretty good', 'terrible', 'pretty', 'decent decent', 'decent terrible', 'terrible good', 'impeccable pretty']","['very good', 'pretty good', 'pretty good']"
11,14,11_limited limited_limited_limited scarce_scarce,"['limited limited', 'limited', 'limited scarce', 'scarce', 'going limited', 'limited cost', 'limited better', 'scarce limited', 'far pretty', 'pretty limited']","['very limited', 'very limited', 'very limited']"
12,13,12_limited limited_limited_minimal sparse_sparse limited,"['limited limited', 'limited', 'minimal sparse', 'sparse limited', 'meager limited', 'meager', 'limited minimal', 'limited meager', 'sparse', 'minimal']","['limited.', 'limited', 'limited']"
13,13,13_needed needed_needed_necessary_way long,"['needed needed', 'needed', 'necessary', 'way long', 'thoughts appreciate', 'important relieve', 'thing important', 'life', 'appreciate safe', 'life necessary']","['it is a necessary thing.', 'very much appreciate and safe lives', 'it can relieve some of the pressure of life.']"
14,12,14_ok_ok fine_just ok_fine,"['ok', 'ok fine', 'just ok', 'fine', 'okay', 'itâ', 'excellent ok', 'itâ ok', 'fine good', 'itâ okay']","[""it's ok"", 'they are ok.', ""it's ok.""]"
15,12,15_expensive expensive_expensive_choice expensive_poor choice,"['expensive expensive', 'expensive', 'choice expensive', 'poor choice', 'great expensive', 'expensive way', 'expensive poor', 'expensive exp', 'exp great', 'exp']","['too expensive', 'to expensive', 'much too expensive']"
16,11,16_itâ limited_limited_limited itâ_itâ,"['itâ limited', 'limited', 'limited itâ', 'itâ', 'limited limited', 'horrible limited', 'fine limited', 'best itâ', 'limited best', 'limited fine']","['itâ€™s limited', 'itâ€™s very limited', 'itâ€™s very limited.']"
17,10,17_adequate_adequate sufficient_sufficient_adequate adequate,"['adequate', 'adequate sufficient', 'sufficient', 'adequate adequate', 'welldone', 'sufficient scarcely', 'sufficient adequate', 'scarcely adequate', 'scarcely', 'satisfying welldone']","['it is adequate.', 'adequate', 'adequate']"
18,9,18_expensive_costs_expensive expensive_hard access,"['expensive', 'costs', 'expensive expensive', 'hard access', 'prohibitive costs', 'options hard', 'high received', 'unhealthy costs', 'expensive prices', 'expensive unhealthy']","['it costs too much. i wish there were options under $5.', 'it is hard to access and it is expensive.', 'prices are too high for what is received.']"
19,9,19_hours_hours hours_hours limited_limited,"['hours', 'hours hours', 'hours limited', 'limited', 'accessible', 'limited hours', 'predictable assisted', 'predictable', 'wish hours', 'far advance']","['it ought to be available during business hours, five days a week.', 'insufficient.  only one possible place, which is too expensive and limited hours and limited selections.', 'hours should be predictable, assisted by an accessible calendar with closings or limited hours - available far in advance.']"
20,8,20_need need_need_need poor_needed need,"['need need', 'need', 'need poor', 'needed need', 'need available', 'quality needed', 'available little', 'little nice', 'quality', 'nice need']","['poor quality', 'need to have more available.', 'better quality needed.']"
21,8,21_es_necesita_mejorar_mejorar excelente,"['es', 'necesita', 'mejorar', 'mejorar excelente', 'vxcv', 'variedad bajo', 'variedad', 'recurso dsaavzxfv', 'recurso', 'precio vxcv']","['necesita mejorar', 'es un buen recurso', 'necesita mã¡s variedad a bajo precio']"
22,8,22_ok_cool ok_open fine_ok kitchen,"['ok', 'cool ok', 'open fine', 'ok kitchen', 'ok cool', 'kitchen open', 'remote ok', 'cool', 'okay ok', 'ok okay']","['ok', 'ok', 'ok while the kitchen is open']"
23,7,23_idk_idk idk_idk agree_great great,"['idk', 'idk idk', 'idk agree', 'great great', 'yes great', 'agree yes', 'agree', 'yes', 'great', '']","['i agree', 'idk', 'idk']"
24,6,24_idea_good idea_nice_use nice,"['idea', 'good idea', 'nice', 'use nice', 'underused nice', 'underused', 'nice use', 'nice idea', 'idea underused', 'idea think']","[""it's is a nice idea"", ""good idea but sometimes it's underused."", 'good idea.']"
25,6,25_don use_use_good expensive_great program,"['don use', 'use', 'good expensive', 'great program', 'use great', 'use don', 'try don', 'use time', 'time havenâ', 'havenâ']","[""don't use"", 'it is good, but too expensive to use all the time.', ""don't use""]"
26,5,26_lacking_vendor available_foreigners_inconvenient options,"['lacking', 'vendor available', 'foreigners', 'inconvenient options', 'hours inconvenient', 'highly expencive', 'lacking low', 'lacking vendor', 'available location', 'location hours']","['good variety and decent hours of service.', 'they are highly expencive for foreigners like me.', 'extremely lacking. even when we have a vendor available, the location and hours are too inconvenient and the options are often lacking.']"
