Question,Institution,Total Responses,Non-empty Responses,Informative Responses,Non_Informative_Count,Sentiment_Positive,Sentiment_Negative,Sentiment_Neutral,Top_Keywords,Top_Topics
How is food or housing insecurity affecting your work?,Response Counts,,,,,,,,,
,Central New Mexico Community College,270.0,270.0,103.0,,,,,,
,Clovis Community College,40.0,40.0,12.0,,,,,,
,DinÃ© College,22.0,22.0,8.0,,,,,,
,Dona Ana Branch Community College,58.0,58.0,26.0,,,,,,
,"Eastern New Mexico University, Portales",45.0,45.0,23.0,,,,,,
,"Eastern New Mexico University, Roswell",39.0,39.0,11.0,,,,,,
,"Eastern New Mexico University, Ruidoso",19.0,19.0,6.0,,,,,,
,"Institute of American Indian Arts, Santa Fe",26.0,26.0,13.0,,,,,,
,Luna Community College,26.0,26.0,12.0,,,,,,
,Mesalands Community College,20.0,20.0,7.0,,,,,,
,"Navajo Technical University, Crownpoint",32.0,32.0,12.0,,,,,,
,New Mexico Highlands University,36.0,36.0,16.0,,,,,,
,New Mexico Institute of Mining and Technology,35.0,35.0,13.0,,,,,,
,New Mexico Junior College,32.0,32.0,11.0,,,,,,
,"New Mexico State University, Alamogordo",26.0,26.0,12.0,,,,,,
,"New Mexico State University, Grants",15.0,15.0,3.0,,,,,,
,"New Mexico State University, Las Cruces",103.0,103.0,44.0,,,,,,
,Northern New Mexico College,24.0,24.0,7.0,,,,,,
,San Juan College,84.0,84.0,35.0,,,,,,
,Santa Fe Community College,62.0,62.0,22.0,,,,,,
,Southeast New Mexico College,17.0,17.0,8.0,,,,,,
,"University of New Mexico, Albuquerque",286.0,286.0,97.0,,,,,,
,"University of New Mexico, Gallup",45.0,45.0,20.0,,,,,,
,"University of New Mexico, Los Alamos",9.0,9.0,6.0,,,,,,
,"University of New Mexico, Taos",24.0,24.0,10.0,,,,,,
,"University of New Mexico, Valencia",19.0,19.0,7.0,,,,,,
,Western New Mexico University,12.0,12.0,3.0,,,,,,
How is food or housing insecurity affecting your work?,Central New Mexico Community College,,,,0.0,0.0,0.0,0.0,"work, doesn, isn, stress, focus",Topic 0: 19 responses; Topic 1: 16 responses; Topic 2: 11 responses; Topic 3: 10 responses; Topic 4: 10 responses; Topic 5: 8 responses; Topic 6: 8 responses; Topic 7: 6 responses; Topic 8: 6 responses
How is food or housing insecurity affecting your work?,"University of New Mexico, Albuquerque",,,,0.0,0.0,0.0,0.0,"doesn, work, isn, students, focus",Topic 0: 14 responses; Topic 1: 12 responses; Topic 2: 12 responses; Topic 3: 11 responses; Topic 4: 10 responses; Topic 5: 7 responses; Topic 6: 7 responses; Topic 7: 6 responses; Topic 8: 6 responses
How is food or housing insecurity affecting your work?,"Eastern New Mexico University, Roswell",,,,0.0,0.0,0.0,0.0,"stress, mental stress, iâ, affects students, affects",
How is food or housing insecurity affecting your work?,"Eastern New Mexico University, Portales",,,,0.0,0.0,0.0,0.0,"doesn, food, anxiety, housing, food housing",Topic 0: 11 responses; Topic 1: 7 responses; Topic 2: 5 responses
How is food or housing insecurity affecting your work?,"University of New Mexico, Gallup",,,,0.0,0.0,0.0,0.0,"time jobs, jobs, job, affect work, work adjunct",Topic 0: 10 responses; Topic 1: 6 responses
How is food or housing insecurity affecting your work?,Dona Ana Branch Community College,,,,0.0,0.0,0.0,0.0,"hungry, work, food, doesn, lack food",
How is food or housing insecurity affecting your work?,Northern New Mexico College,,,,0.0,0.0,0.0,0.0,"rising, food, feel weak, outside work, teaching",
How is food or housing insecurity affecting your work?,New Mexico Junior College,,,,0.0,0.0,0.0,0.0,"hungry, hasn, uncomfortable, eat, think",Topic 0: 5 responses; Topic 1: 4 responses
How is food or housing insecurity affecting your work?,San Juan College,,,,0.0,0.0,0.0,0.0,"doesn, work, isn, focus, stress",Topic 0: 11 responses; Topic 1: 9 responses; Topic 2: 8 responses
How is food or housing insecurity affecting your work?,Mesalands Community College,,,,0.0,0.0,0.0,0.0,"lunch feel, lunch time, work, living situation, think living",
How is food or housing insecurity affecting your work?,Clovis Community College,,,,0.0,0.0,0.0,0.0,"work, food housing, employment, study work, work food",Topic 0: 2 responses; Topic 1: 2 responses
How is food or housing insecurity affecting your work?,"Navajo Technical University, Crownpoint",,,,0.0,0.0,0.0,0.0,"housing, work, just doesâ, times, nutritious foods",Topic 0: 6 responses; Topic 1: 3 responses; Topic 2: 3 responses
How is food or housing insecurity affecting your work?,Luna Community College,,,,0.0,0.0,0.0,0.0,"food, work, focus, currently affecting, food buy",Topic 0: 6 responses; Topic 1: 6 responses
How is food or housing insecurity affecting your work?,"New Mexico State University, Las Cruces",,,,0.0,0.0,0.0,0.0,"work, students, rent, stress, isn",Topic 0: 11 responses; Topic 1: 10 responses; Topic 2: 9 responses; Topic 3: 6 responses; Topic 4: 6 responses
How is food or housing insecurity affecting your work?,New Mexico Highlands University,,,,0.0,0.0,0.0,0.0,"worry, isn, yes, classes, eat",Topic 0: 7 responses; Topic 1: 5 responses; Topic 2: 4 responses
How is food or housing insecurity affecting your work?,Southeast New Mexico College,,,,0.0,0.0,0.0,0.0,"focus, huge, levels, decrease, productivity decrease",
How is food or housing insecurity affecting your work?,"University of New Mexico, Taos",,,,0.0,0.0,0.0,0.0,"worry, worry students, work, affordable, living paycheck",Topic 0: 5 responses; Topic 1: 5 responses
How is food or housing insecurity affecting your work?,Santa Fe Community College,,,,0.0,0.0,0.0,0.0,"students, jobs, work, rent, feeling anxiety",Topic 0: 13 responses; Topic 1: 5 responses
How is food or housing insecurity affecting your work?,"New Mexico State University, Alamogordo",,,,0.0,0.0,0.0,0.0,"work, stress, affects work, food, affects",Topic 0: 5 responses; Topic 1: 4 responses; Topic 2: 3 responses
How is food or housing insecurity affecting your work?,"Institute of American Indian Arts, Santa Fe",,,,0.0,0.0,0.0,0.0,"doesn, don let, hungry tired, anxious couldn, let affect",Topic 0: 7 responses; Topic 1: 4 responses
How is food or housing insecurity affecting your work?,DinÃ© College,,,,0.0,0.0,0.0,0.0,"doesn, negatively impacting, increased, prices increased, anxious",
How is food or housing insecurity affecting your work?,"Eastern New Mexico University, Ruidoso",,,,0.0,0.0,0.0,0.0,"work, work opportunities, looking work, opportunities make, opportunities",
