# 
#     Column Definitions:
#     - Total Potential Responses: All survey participants, including those who left the question blank.
#     - Non-empty Responses: All responses that are not null or empty string.
#     - Informative Responses: Responses that are not classified as non-informative (e.g., not "N/A", "No comment", etc.).
#     - Response: Individual informative responses, with each response on a separate row.
#     
"Question","Institution","Total Potential Responses","Non-empty Responses","Informative Responses","Response"
"How is food or housing insecurity affecting your work?","Central New Mexico Community College","390","153","130","i often can't concentrate because i don't have enough to eat"
"","","","","","i worry about bills every moth. living month to month."
"","","","","","i had to move this year, which caused my rent to go up 2.5 times what i was paying. my job switched prescription coverage, which caused the cost of the generic prescription i need for my mental health to go from $5 a month to almost $100 a month."
"","","","","","doesn't"
"","","","","","i try not to let it affect my work"
"","","","","","no affect"
"","","","","","i would not describe myself as food or housing insecure."
"","","","","","being able to work remote some day of the week is very helpful."
"","","","","","wages not in line with industry standards"
"","","","","","i tend to help my adult children who still live in the home with lunches and food and if they go without i don't do well at work."
"","","","","","prefer not to answer"
"","","","","","i need a job with a better salary. why should i care about a job that barely pays me enough to scrape by."
"","","","","","i work a lot to ensure there is no insecurity but the amount of jobs cuts into my studies. it will prolong how long i will take to finish my program."
"","","","","","it is not affecting my work."
"","","","","","it isn't."
"","","","","","it doesn't affect my work at this time."
"","","","","","i cannot drive to work all 5 days"
"","","","","","i am constantly worried that i will lose my house or i will go home to no electricity or gas."
"","","","","","i have to be sure i dont miss a day or get sick because my leave may not cover my absence and leave me less on my pay."
"","","","","","if the rent goes up again after my lease is up, i probably won't be able to keep working at cnm"
"","","","","","more stress"
"","","","","","hungry at work and can't concentrate."
"","","","","","no"
"","","","","","no"
"","","","","","it makes it hard to concentrate on my job."
"","","","","","need better pay with this rising inflation."
"","","","","","currently it is not"
"","","","","","most of the people are suffering from high grocery store expenses."
"","","","","","it's not"
"","","","","","mental stress causes distraction"
"","","","","","worry and focus on problem than performing well."
"","","","","","it hasn't."
"","","","","","it is not"
"","","","","","i am in a situation where food or housing does not affect my work, luckily."
"","","","","","not severly.  sometimes hungry with no money for lunch."
