Keyword,Count
food,149
campus,118
food pantry,108
housing,81
pantry,78
students,53
pay,52
food options,48
increase,47
provide,44
cafeteria,32
wages,30
meals,27
campus food,25
provide food,21
wage,21
faculty,20
options,18
food pantries,17
student housing,16
inflation,16
employees,16
food campus,16
options campus,16
food housing,16
pantries,16
vouchers,16
resources,15
living wage,15
campuses,14
job,14
housing students,14
raise,14
staff,13
doing,13
food bank,13
students staff,13
free,13
salaries,13
students need,13
provide housing,12
higher wages,12
free food,12
meal,12
campus housing,12
increase pay,12
healthy food,12
cnm,11
offer,11
free meals,10
advertise,10
increase wages,10
affordable,10
better,10
pay employees,9
work,9
food available,9
food students,9
pay adjuncts,9
university,9
open,9
funding,9
raises,9
cost living,9
dorms,9
housing insecurity,9
affordable housing,9
affordable food,9
housing food,9
help,9
salary,9
food drives,9
college,9
help students,8
cheaper,8
increase salary,8
faculty staff,8
better pay,8
pay living,8
available,8
pay staff,8
higher,8
housing vouchers,8
better food,8
options students,8
school,7
provide free,7
available campus,7
education,7
meal options,7
students faculty,7
pay faculty,7
staff faculty,7
cafe,7
cheaper food,7
food banks,7
increase salaries,7
student,6
community,6
options food,6
pantry students,6
housing faculty,6
food trucks,6
healthy,6
dorm,6
higher pay,6
accommodation,6
housing options,6
adjuncts,6
health insurance,6
healthy options,6
provide students,5
meals campus,5
resources available,5
cost meals,5
foods,5
services,5
provide healthy,5
good,5
graduate students,5
better wages,5
unm,5
doing good,5
offer food,5
assistance,5
food service,5
purchase food,5
free housing,5
low cost,4
living,4
food services,4
subsidize,4
fund,4
faculty better,4
healthy meals,4
campus provide,4
main campus,4
emails,4
lower,4
service campus,4
vouchers students,4
offer housing,4
help food,4
subsidies,4
resources students,4
pantry campus,4
gift cards,4
students food,4
meal plans,4
access food,4
transportation,4
food insecurity,4
grant,4
lower prices,4
drives,4
availability,4
raise wages,4
pay better,4
adjunct,4
better options,4
pay graduate,4
events,4
affordable meal,4
raise pay,4
support food,4
provide affordable,4
montoya campus,4
advertise food,3
services food,3
market,3
students aware,3
food court,3
campus living,3
people,3
offer free,3
hope,3
food safety,3
food distribution,3
lower cost,3
retirement,3
livable wages,3
affordable healthy,3
farmers,3
housing campus,3
staff housing,3
available students,3
affordable options,3
pantry great,3
eat campus,3
programs,3
available food,3
provide meals,3
discounts apartment,3
pantry housing,3
pantry open,3
food insecurities,3
provide vouchers,3
costs,3
food vouchers,3
campus affordable,3
cost,3
lot,3
farmers market,3
grocery,3
near campus,3
lunch,3
hot meals,3
expand food,3
meal day,3
community garden,3
build,3
campus options,3
open cafeteria,3
month students,3
pantry food,3
providing,3
living increases,3
provide accommodation,3
public,3
food costs,3
time employees,3
employees students,3
reach students,3
subsidized housing,3
salary increase,3
hours food,3
parking,3
rent,3
students families,3
affordable students,3
tuition,3
living wages,3
prices,3
family housing,3
promote,3
pay higher,3
great,3
cupboard,3
wage employees,3
provide campus,3
schools,3
access,3
food cafeteria,3
address food,3
obtain food,3
discounts,3
quality food,3
campus students,3
vending,3
vending machines,3
adjuncts living,3
prices campus,3
good job,3
doing great,3
students work,2
rising inflation,2
pay rising,2
work unm,2
university doing,2
apartment complexes,2
options cafeteria,2
cnm montoya,2
reopen,2
match inflation,2
reopen food,2
employees livable,2
options available,2
variety,2
scholarship,2
aumento,2
reduce,2
health sciences,2
university housing,2
stipend,2
options campuses,2
employees food,2
accessible food,2
insecurities,2
support students,2
faculty pay,2
nutritious meals,2
nmjc,2
staff need,2
campus open,2
addressing need,2
pantries campuses,2
pantry staff,2
pantry campuses,2
cafeteria campus,2
income,2
provides food,2
staff members,2
campus assist,2
funds,2
areas campus,2
hold food,2
food events,2
livable wage,2
housing stipend,2
bring,2
bring cafeteria,2
food home,2
fund help,2
temporary housing,2
think doing,2
pay raises,2
stores,2
assist housing,2
discount,2
price reduce,2
program,2
city,2
students campus,2
employee,2
allowance,2
equitable,2
campus community,2
scholarships,2
struggling students,2
new employee,2
improve,2
food gift,2
reduce cost,2
work food,2
students housing,2
gardens,2
students like,2
closer campus,2
jobs,2
grad,2
groceries,2
pay grad,2
wages offer,2
remote work,2
make housing,2
think university,2
cafeteria open,2
staff wages,2
need,2
food resources,2
faculty housing,2
yes,2
cheaper campus,2
cheaper healthy,2
grad students,2
bank campus,2
meal plan,2
raise salary,2
homeless,2
rising costs,2
pantry helpful,2
housing available,2
campus cheaper,2
employee housing,2
nmsu,2
provide pantry,2
nutritious,2
better education,2
children,2
afford,2
distribution,2
provide hot,2
costs campus,2
reduce food,2
resources help,2
local agency,2
create food,2
lunches,2
pantry offer,2
better health,2
staff aggie,2
aware,2
aggie cupboard,2
pantry need,2
purchase campus,2
produce,2
options healthy,2
canteen,2
campus safety,2
fresh fruits,2
apartment,2
safe,2
offer assistance,2
social organizations,2
opportunities,2
near school,2
college food,2
students cafeteria,2
organizations,2
social,2
community kitchen,2
faculty need,2
wages faculty,2
getting,2
healthy foods,2
stability,2
food free,2
nutrition,2
provide needs,2
prices housing,2
needs,2
meal service,2
housing single,2
cheaper housing,2
day care,2
don,2
food assistance,2
cost housing,2
maybe food,2
getting word,2
fruit,2
gallup,2
money,2
food availability,2
accessible,2
pantry unm,2
school does,2
unm gallup,2
dorms students,2
staff students,2
build dorms,2
pantry available,2
university does,2
open food,2
healthier options,2
provide access,2
provide cafeteria,2
days open,2
students expand,2
choices,2
bring food,2
low income,2
teach,2
increased pay,2
campus shelter,2
food drive,2
pantry excellent,2
pantry resources,2
meals housing,2
free meal,2
albuquerque,2
support faculty,2
pantry services,2
fruits vegetables,2
hire,2
shelter,2
meals need,2
provide low,2
campus cupboard,2
promote food,2
think,2
theyâ,2
theyâ doing,2
cnm food,2
robust food,2
garden,2
wages provide,2
house,2
pay food,2
services students,2
meals students,2
month,2
cafeteria housing,2
price,2
price food,2
just continue,2
projects,2
continue,2
stipends,2
new employees,2
housing staff,2
class,2
continue support,2
salaries faculty,2
inexpensive food,2
lower tuition,2
dining,2
stop spending,2
time faculty,2
options affordable,2
students access,2
increase housing,2
banks,2
assist students,2
safe housing,2
open cafe,2
food prices,2
make accessible,2
make affordable,2
provide staff,2
accessible students,2
make,2
help housing,2
college doing,2
raise salaries,2
opportunities students,2
food vendor,2
free tuition,2
dormitories,2
salary adjunct,2
wages lower,2
housing security,2
support,2
food choices,2
student dormitories,2
offer healthier,2
opened,2
adjunct faculty,2
students living,2
healthier,2
dormitories food,2
dacc,2
students help,2
share,2
food programs,2
healthier food,2
classrooms areas,1
providing student,1
offices students,1
provide tickets,1
does alot,1
near classrooms,1
alot,1
expensive discount,1
faculty offices,1
hardly discount,1
discount hardly,1
cafeteria expensive,1
offer cheaper,1
faculty especially,1
vouchers meal,1
does,1
discounted meal,1
cheaper meals,1
student affordable,1
help stigmatized,1
unm food,1
raises inflation,1
inflation raises,1
improve salaries,1
meals employees,1
pay wage,1
pay inflation,1
services staff,1
term campus,1
nnmc offered,1
allow short,1
students visit,1
nnmc,1
students eat,1
wish nnmc,1
staff graduate,1
unused campus,1
lower food,1
graduate assistants,1
vouchers access,1
make getting,1
student workers,1
eligibility conditions,1
stigmatized,1
information eligibility,1
serve unm,1
getting help,1
tickets students,1
events free,1
food offerings,1
faculty field,1
raises hire,1
staff raises,1
tuition stipends,1
work vehicle,1
parking employees,1
free parking,1
students offer,1
including students,1
trade,1
awareness campus,1
funding food,1
greater funding,1
shelter students,1
students increase,1
staff quarters,1
want money,1
things want,1
robust,1
food program,1
quarters,1
lunch options,1
healthy lunch,1
access resources,1
increase awareness,1
grant class,1
foundation help,1
greater access,1
resources increase,1
affordable costs,1
labor,1
qualifications faculty,1
locations students,1
ways students,1
hot,1
serve,1
serve hot,1
opt retirement,1
continue retirement,1
retirement funding,1
retirement deductions,1
pell,1
pell grant,1
lunches pell,1
offer services,1
free lunches,1
mentor talk,1
make people,1
raffle,1
prize raffle,1
lower costs,1
lower costing,1
costs housing,1
cost improve,1
tier staff,1
food issues,1
improve healthy,1
staff rent,1
staff salaries,1
trade labor,1
increase faculty,1
labor food,1
better ways,1
eat sodexho,1
correct headings,1
correct,1
cafeteria cafe,1
fence,1
fence campus,1
gluten soy,1
offices,1
food allergies,1
access healthy,1
resources safe,1
provide resources,1
faculty commute,1
offer incentives,1
healthy grocery,1
extended hours,1
stores provide,1
cafe open,1
open campus,1
need pantries,1
needs struggling,1
cards students,1
grocery stores,1
opportunities advance,1
better salaries,1
install campus,1
grocery op,1
campus grocery,1
places,1
access places,1
incapable doing,1
small,1
cnm unm,1
small incapable,1
pantries great,1
cost student,1
want cnm,1
la ayuda,1
housing undergraduate,1
students higher,1
kitchens dining,1
rise inflation,1
dining halls,1
meals kitchens,1
salaries accommodate,1
necesarios,1
despensar como,1
necesidades,1
dicen pantry,1
gustaria la,1
estas necesidades,1
necesarios para,1
fondos necesarios,1
work permit,1
teaching conditions,1
faculty make,1
safe offices,1
safe zones,1
pay match,1
organization people,1
organization,1
presentation flyers,1
presentation,1
giving presentation,1
permit,1
lose work,1
spouses lose,1
force spouses,1
campus small,1
education thats,1
headings,1
teachers classroom,1
rely dignity,1
housing nice,1
work people,1
people insecurities,1
insecurities work,1
nice,1
good produce,1
produce affordable,1
opportunities offer,1
price students,1
pantry making,1
availability food,1
think promoting,1
faculty afford,1
recruit students,1
housing expensive,1
giving housing,1
create monthly,1
monthly farmers,1
costs constantly,1
increase help,1
pay increase,1
trainings,1
coupon,1
emails correct,1
coupon trainings,1
nutrition coupon,1
easy students,1
students apply,1
including accommodating,1
base students,1
people campus,1
curve inflation,1
unm campus,1
inflation cost,1
