Keyword,Count
neighborhood,10
crime,9
violence,6
unsafe,5
domestic violence,4
fear,4
abuse,4
domestic,4
family,3
apartment complex,3
partner,3
landlord,3
housing,3
gun violence,3
homeless,3
neighbors,3
scary,3
albuquerque,3
shootings,3
gun,3
hostility,2
house,2
relationship,2
people,2
mental health,2
abusive,2
spouse,2
felt unsafe,2
crime area,2
living,2
break,2
poor,2
neighbor,2
ex,2
husband,2
mental,2
low income,2
high crime,2
pay rent,2
neighbors having,2
environment,2
town,2
traffic,2
mentally unstable,2
surrounding,2
rent,2
living scary,2
surrounding environment,2
apartment,2
area,2
sewer backup,1
drug,1
activity,1
drug activity,1
gun drug,1
homes flooded,1
patrols house,1
threat,1
hanging,1
police patrols,1
sewer,1
flooded,1
police,1
feeling unsafe,1
health maslow,1
student threat,1
feeling safe,1
flooded sewer,1
portales,1
people hanging,1
hanging unsafe,1
stray dogs,1
driven,1
portales lots,1
intoxicated people,1
upstairs,1
lived upstairs,1
stairs challenge,1
stairs,1
using stairs,1
thieves,1
fear thieves,1
verbal,1
dogs intoxicated,1
verbal abuse,1
abuse hostility,1
hjkh,1
casa constantemente,1
away moment,1
driven away,1
thefts,1
lots homeless,1
homeless area,1
live,1
scary area,1
live scary,1
invaded,1
poor surrounding,1
mm,1
safety,1
vibes arguing,1
bad vibes,1
husband bad,1
home,1
mile home,1
half mile,1
wildfire,1
wildfire came,1
privacy make,1
housing situation,1
privacy,1
lacks privacy,1
concerns,1
weather,1
weather concerns,1
thefts cars,1
relationship issues,1
issues partner,1
violence issues,1
fear driven,1
targeted,1
houses vehicles,1
including targeted,1
vehicles street,1
smashed cars,1
homeless population,1
albuquerque 13,1
unsafe mental,1
lived albuquerque,1
caused substance,1
substance abuse,1
issues,1
breakdown gun,1
gun came,1
family friend,1
property owners,1
shootings measures,1
frequent shootings,1
unsafe situation,1
moving august,1
situation abusive,1
abusive family,1
living unsafe,1
drugs homeless,1
junk food,1
unsafe mortgage,1
higher crime,1
rental higher,1
shots,1
shots neighborhood,1
gun shots,1
unpredictable,1
partner unpredictable,1
outside fence,1
violence houses,1
houses away,1
cops,1
cops called,1
neighborhood sketchy,1
sketchy cops,1
covid,1
gunshots,1
gunshots crime,1
crime covid,1
high,1
asked pay,1
fear asked,1
mandatory,1
forrest,1
evacuation,1
forrest mandatory,1
mandatory evacuation,1
rental,1
strange warning,1
mortgage payment,1
warning watch,1
landlord crazy,1
neighbor gun,1
