Topic,Count,Name,Representation,Representative_Docs
-1,1025,-1_to_and_the_for,"['to', 'and', 'the', 'for', 'in', 'of', 'students', 'that', 'have', 'food']","['I know that I do not have a lot of extra money to spend on food, so I try to buy just what I need and have foods that go a long way and do not cost as much. This does not effect my work very much, but I do have an extra job in addition to my full time job which I use for groceries throughout the week to lessen my stress over affording food. I have less free time and sometimes go to bed much later than I would want because I get stuck at my other job.', "" Offer regular food service with discounted (affordable)and/or free meals. Loss of cental food services have left many feeling isolated and students leave campus as soon a class is over, since there is no longer a place to visit with friends and eat on a regular basis.  State would need to address these solutions: full coverage of tuition, fees and books to free up funding for living expenses. Housing needs to be addressed by the city and state. While dorms are not usually considered for community colleges, I think if SFCC could offer limited dormitories for students who are required to spend large amounts of time in person on campus such as nursing students. I also think it would be worth exploring if the nearby IAIA campus has any empty dorm rooms that could be made available to SFCC students, but we'd need to find funds to help students with those expenses. It would also be helpful if we had more emergency funds available to students who need to move, etc. We do offer some limited funds via the SFCC Foundation, but I don't think they are authorized to give the amounts that would be needed to pay first and last month's deposit before someone is evicted. Also, if the state could assist with offering covered or more affordable health insurance for employees it would free up money for food and housing expenses. In general, rental options are very expensive and limited. Santa Fe seniors are on the waiting list for housing assistance for years. Young people do not have access to any inexpensive housing options. Santa Fe is slowly becoming a community where the poor and middle class have no where to live. "", ""Right now we are doing a good job starting up the food pantry for students, and working on a community garden.  I know that some of my co-workers either work or have had to work multiple jobs in order to live sustainably, so having more conversations about that and coming up with solutions would be good.  While having good food security at home is the best option, I think having a cafeteria with consistent hours and reasonable food prices could potentially be helpful for our student and staff population.  As for housing, we don't offer anything that I am aware of to address that issue.  We can only point others to outside resources that are available.""]"
0,385,0_no_yes_sã_lo,"['no', 'yes', 'sã', 'lo', '', '', '', '', '', '']","['no', 'no', 'No']"
1,222,1_pay_inflation_increase_wages,"['pay', 'inflation', 'increase', 'wages', 'raise', 'employees', 'salaries', 'living', 'give', 'higher']","['Increase pay', 'Increase pay. ', 'raise salaries to meet inflation and pay a living wage']"
2,132,2_housing_campus_students_dorms,"['housing', 'campus', 'students', 'dorms', 'student', 'on', 'for', 'would', 'university', 'dorm']","['More campus housing', 'On campus housing', 'On campus housing?']"
3,119,3_campus_on_options_food,"['campus', 'on', 'options', 'food', 'healthy', 'affordable', 'could', 'machines', 'snacks', 'provide']","['have food options on campus', 'On campus options for food.', 'more food on campus and options']"
4,103,4_pantry_food_campus_the,"['pantry', 'food', 'campus', 'the', 'students', 'or', 'our', 'that', 'we', 'to']","['open up a food pantry on campus or collaborate with a food pantry in the community.', 'Have a food pantry on campus', 'Have a campus food pantry']"
5,101,5_insecurity_housing_food_or,"['insecurity', 'housing', 'food', 'or', 'security', 'am', 'work', 'insecure', 'my', 'affect']","['I have no food or housing insecurity', 'I have no food or housing insecurity.', 'I have no food or housing insecurity.']"
6,89,6_hungry_eat_tired_concentrate,"['hungry', 'eat', 'tired', 'concentrate', 'focus', 'sometimes', 'skip', 'work', 'stomach', 'when']","['Hungry, tired', 'Too hungry and tired to focus sometimes', 'I get hungry...tired']"
7,88,7_pantry_food_continue_accessible,"['pantry', 'food', 'continue', 'accessible', 'often', 'the', 'more', 'hours', 'early', 'expand']","['more food at the food pantry ', 'Food pantry', 'A food pantry ']"
8,65,8_students_resources_them_more,"['students', 'resources', 'them', 'more', 'academic', 'help', 'reach', 'school', 'information', 'available']","[""I am amazed and impressed with DACC's attention and care of the basic daily needs of students and the amount of resources available to help them succeed beyond just education. "", 'More awareness of LoboPantry - I became more aware of it during the pandemic. Continue raising more visibility to faculty if resources to support students. Consider how the fragmentation of information across JNMâ€™s website might lead to missed opportunities to support students. Consider a UX designer consult for our website.', 'have more resources for students ']"
