Topic,Count,Name,Representation,Representative_Docs,IDs
-1,1100,-1_to_and_for_the,"['to', 'and', 'for', 'the', 'in', 'of', 'that', 'have', 'students', 'are']","[""As someone who works for the university an answer that comes to mind is to pay people more, particularly people who are in lower paying jobs. I'm doing well but not everyone employed here is making a wage that would create security. If I had children or was caring for a family member inflation would have me on edge right now and I would perhaps need to earn more to feel secure. "", ""Right now we are doing a good job starting up the food pantry for students, and working on a community garden.  I know that some of my co-workers either work or have had to work multiple jobs in order to live sustainably, so having more conversations about that and coming up with solutions would be good.  While having good food security at home is the best option, I think having a cafeteria with consistent hours and reasonable food prices could potentially be helpful for our student and staff population.  As for housing, we don't offer anything that I am aware of to address that issue.  We can only point others to outside resources that are available."", 'The pay is insufficient even for faculty who have been here many years.  Students, who we encourage to get an education, see people with 10 + years of university and PhDs earning less than a manager at a Starbucks with a high school diploma.  They take note of this and basically think we are stupid to go into a profession that pays so little.  The college\'s view is that if anyone in teaching wants to earn good money, get out of teaching as fast as possible, and go into administration because that\'s where the money is.  But, what if teaching is our gift, and we want to share that, but also earn a decent salary--the college doesn\'t care, the Board and the Legislature doesn\'t have a clue, and they think administrators are more qualified (nothing could be further from the truth) or that they have more responsibility . . . but they are constantly saying that we, the faculty, are face-to-face with students and that\'s the most important thing, but obviously it isn\'t because they won\'t pay us what we\'re worth.  So many people are leaving this profession because of poor treatment.  NEVER say ""people don\'t go into education for the money, it\'s a vocation"" NO IT ISN\'T, it\'s a job, a job that requires years of graduate school.  We earn and deserve decent pay--we\'re not Mother Theresa, we\'re people who want to look after our families. ']","['93', '176', '211', '379', '380', '406', '417', '458', '504', '517', '581', '589', '707', '955', '980', '1008', '1060', '1128', '1226', '1367', '1374', '1453', '1603', '1634', '1929', '2226', '2266', '2375', '2400', '2511', '2537', '2557', '2568', '2571', '2574', '2577', '2589', '2603', '2604', '2608', '2619', '2643', '2653', '2721', '2738', '2748', '2785', '2800', '2810', '2870', '2871', '2965', '3037', '3113', '3315', '3342', '3435', '3450', '3463', '3491', '3529', '3569', '3729', '3748', '3846', '3872', '3879', '3905', '3922', '3925', '4047', '4050', '4051', '4057', '4085', '4221', '4285', '4399', '4485', '4541', '4550', '4556', '4580', '4708', '4724', '4933', '5507', '5538', '5597', '5615', '5638', '5643', '5800', '5880', '5888', '5909', '5915', '5921', '5925', '5982', '5987', '5989', '5997', '6010', '6029', '6071', '6101', '6124', '6136', '6149', '6153', '6170', '6171', '6197', '6244', '6261', '6287', '6302', '6303', '6327', '6346', '6379', '6382', '6441', '6530', '6598', '6654', '6663', '6669', '6671', '6686', '6749', '6792', '6909', '6951', '6954', '6997', '7003', '7017', '7030', '7102', '7170', '7223', '7255', '7265', '7310', '7327', '7350', '7459', '7477', '7563', '7605', '7647', '7657', '7702', '7709', '7751', '7755', '7767', '7886', '7903', '7933', '7940', '7958', '7985', '8014', '8028', '8082', '8095', '8158', '8243', '8278', '8325', '8364', '8472', '8475', '8579', '8703', '8796', '8897', '8909', '8918', '8928', '8945', '8971', '8998', '9003', '9029', '9030', '9038', '9044', '9085', '9088', '9113', '9157', '9192', '9202', '9263', '9270', '9305', '9481', '9566', '9793', '9864', '9896', '9927', '9981', '10036', '10081', '10135', '10182', '10196', '10221', '10238', '10240', '10254', '10258', '10311', '10393', '10447', '10485', '10498', '10566', '10628', '10684', '10688', '10698', '10700', '10705', '10751', '10762', '10776', '10778', '10832', '10957', '11274', '11463', '11500', '11534', '11547', '11557', '12109', '12126', '12140', '12155', '12158', '12296', '12343', '12345', '12374', '12462', '12494', '12817', '12818', '12887', '12900', '12980', '13004', '13017', '13051', '13120', '13139', '13283', '13404', '13405', '13406', '13407', '13408', '13412', '13451', '13638', '13830', '13835', '13844', '13886', '13910', '13916', '13918', '14017', '14101', '14149', '14157', '14261', '14314', '14388', '14432', '14613', '14880', '14896', '14943', '14989', '15072', '15121', '15130', '15174', '15221', '15222', '3', '7', '17', '88', '91', '93', '103', '141', '154', '184', '211', '216', '217', '228', '318', '356', '367', '410', '411', '412', '417', '445', '455', '458', '459', '473', '504', '513', '521', '522', '562', '577', '581', '584', '589', '627', '755', '888', '895', '904', '954', '955', '957', '979', '988', '989', '990', '1008', '1021', '1029', '1041', '1078', '1102', '1114', '1128', '1154', '1165', '1167', '1251', '1287', '1292', '1295', '1298', '1321', '1332', '1339', '1377', '1413', '1433', '1446', '1453', '1495', '1634', '1682', '1737', '1929', '2137', '2215', '2266', '2375', '2400', '2404', '2406', '2410', '2416', '2422', '2430', '2443', '2448', '2452', '2503', '2508', '2510', '2520', '2524', '2534', '2535', '2537', '2545', '2566', '2568', '2577', '2593', '2597', '2603', '2608', '2637', '2639', '2643', '2644', '2651', '2667', '2684', '2686', '2689', '2703', '2704', '2717', '2721', '2738', '2741', '2757', '2760', '2784', '2785', '2800', '2822', '2841', '2845', '2870', '2879', '2902', '2941', '2956', '2966', '2994', '3058', '3080', '3112', '3136', '3157', '3161', '3315', '3342', '3356', '3411', '3437', '3444', '3450', '3463', '3466', '3474', '3550', '3569', '3573', '3639', '3702', '3709', '3734', '3752', '3847', '3885', '3893', '3909', '3922', '3941', '3993', '4002', '4049', '4057', '4064', '4124', '4220', '4221', '4238', '4311', '4482', '4485', '4550', '4556', '4580', '4681', '4705', '4724', '4736', '4878', '5041', '5079', '5080', '5095', '5183', '5263', '5265', '5280', '5345', '5460', '5488', '5503', '5507', '5538', '5597', '5600', '5818', '5823', '5845', '5847', '5850', '5852', '5855', '5863', '5877', '5907', '5909', '5918', '5925', '5931', '5935', '5937', '5982', '5989', '5997', '6006', '6008', '6028', '6035', '6044', '6062', '6072', '6074', '6080', '6088', '6090', '6101', '6104', '6105', '6110', '6119', '6124', '6131', '6161', '6170', '6173', '6197', '6238', '6243', '6247', '6250', '6252', '6258', '6272', '6276', '6285', '6296', '6302', '6303', '6304', '6327', '6334', '6336', '6344', '6347', '6364', '6370', '6371', '6379', '6403', '6415', '6441', '6447', '6467', '6475', '6501', '6508', '6568', '6631', '6646', '6652', '6687', '6696', '6698', '6711', '6732', '6749', '6775', '6791', '6792', '6822', '6823', '6865', '6898', '6905', '6933', '6940', '6954', '6968', '6985', '6997', '7007', '7017', '7019', '7030', '7047', '7075', '7088', '7101', '7102', '7120', '7137', '7177', '7193', '7234', '7249', '7265', '7274', '7283', '7327', '7408', '7427', '7447', '7459', '7491', '7520', '7532', '7551', '7553', '7560', '7563', '7564', '7586', '7610', '7628', '7645', '7649', '7652', '7656', '7660', '7665', '7669', '7696', '7702', '7709', '7753', '7770', '7774', '7797', '7807', '7813', '7840', '7881', '7892', '7927', '7950', '7956', '7958', '7968', '8014', '8015', '8018', '8022', '8043', '8050', '8079', '8082', '8115', '8120', '8130', '8164', '8178', '8180', '8364', '8397', '8485', '8559', '8579', '8596', '8612', '8693', '8703', '8796', '8810', '8888', '8897', '8899', '8909', '8913', '8915', '8918', '8920', '8928', '8936', '8938', '8941', '8943', '8946', '8954', '8960', '8962', '8967', '8969', '8970', '8979', '8981', '8986', '8987', '8989', '9003', '9017', '9025', '9030', '9036', '9042', '9075', '9078', '9084', '9093', '9096', '9105', '9120', '9128', '9133', '9153', '9166', '9168', '9172', '9213', '9218', '9263', '9280', '9281', '9295', '9309', '9310', '9315', '9336', '9415', '9438', '9466', '9486', '9500', '9507', '9522', '9524', '9546', '9553', '9566', '9571', '9620', '9634', '9687', '9698', '9775', '9836', '9864', '10036', '10043', '10057', '10081', '10084', '10108', '10112', '10182', '10220', '10230', '10240', '10316', '10318', '10356', '10363', '10366', '10394', '10413', '10421', '10436', '10461', '10520', '10566', '10586', '10620', '10628', '10684', '10735', '10737', '10751', '10760', '10764', '10768', '10776', '10778', '10832', '10881', '10957', '11039', '11061', '11078', '11091', '11095', '11274', '11420', '11463', '11538', '11557', '11604', '11679', '11797', '11822', '11909', '12110', '12131', '12158', '12221', '12231', '12259', '12339', '12365', '12427', '12444', '12447', '12462', '12478', '12494', '12552', '12583', '12661', '12674', '12680', '12774', '12827', '12850', '12965', '13010', '13017', '13020', '13032', '13051', '13064', '13080', '13110', '13139', '13153', '13182', '13194', '13236', '13289', '13313', '13383', '13397', '13406', '13407', '13408', '13451', '13537', '13605', '13706', '13730', '13731', '13761', '13793', '13801', '13804', '13830', '13850', '13852', '13866', '13906', '13907', '13953', '13959', '13987', '13993', '14001', '14017', '14034', '14046', '14125', '14149', '14202', '14219', '14261', '14314', '14388', '14422', '14444', '14458', '14486', '14510', '14544', '14601', '14604', '14644', '14842', '14896', '14915', '14943', '14988', '14996', '14999', '15000', '15012', '15070', '15101', '15121', '15125', '15174', '15213', '15214', '228', '257', '285', '318', '380', '411', '445', '685', '706', '819', '895', '955', '973', '1059', '1060', '1118', '1174', '1188', '1237', '1298', '1332', '1379', '1568', '1574', '1576', '1623', '1682', '2156', '2414', '2520', '2547', '2560', '2571', '2574', '2603', '2617', '2703', '2704', '2784', '2785', '2836', '2841', '2871', '2879', '2946', '3080', '3113', '3135', '3270', '3315', '3327', '3349', '3443', '3508', '3522', '3702', '3752', '3875', '3885', '3918', '3964', '4060', '4170', '4220', '4724', '4759', '4854', '5269', '5280', '5345', '5600', '5719', '5814', '5823', '5850', '5986', '5989', '6008', '6018', '6020', '6035', '6061', '6062', '6071', '6105', '6121', '6135', '6149', '6243', '6284', '6296', '6305', '6340', '6374', '6382', '6444', '6505', '6607', '6792', '6865', '6905', '6940', '7256', '7550', '7638', '7656', '7755', '7931', '8015', '8040', '8043', '8130', '8158', '8164', '8178', '8180', '8884', '8912', '8920', '8941', '8957', '8961', '8969', '8979', '8989', '8998', '9071', '9072', '9106', '9182', '9420', '9553', '9566', '10177', '10183', '10238', '10240', '10254', '10258', '10316', '10366', '10413', '10436', '10586', '10620', '10622', '10684', '10695', '10697', '10764', '10792', '10881', '11065', '11274', '11797', '11863', '12109', '12158', '12183', '12233', '12320', '12361', '12464', '12468', '12674', '12817', '12827', '12831', '12887', '12900', '13067', '13094', '13110', '13203', '13288', '13289', '13321', '13462', '13495', '13850', '13866', '13867', '13888', '13927', '13933', '13987', '13997', '14136', '14231', '14388', '14444', '14486', '14879', '14925', '14996', '14999', '15000', '15012']"
0,385,0_no_yes_sã_lo,"['no', 'yes', 'sã', 'lo', '', '', '', '', '', '']","['No', 'no', 'No']","['34', '97', '1066', '1078', '1739', '2056', '2330', '2406', '2636', '2641', '2651', '2690', '2758', '2807', '2816', '3177', '3444', '3531', '3826', '3855', '3900', '3943', '4350', '4498', '4872', '4873', '4874', '4924', '4925', '5015', '5020', '5041', '5042', '5059', '5080', '6025', '6222', '6506', '6673', '6707', '6866', '6959', '7218', '7249', '7423', '7553', '7769', '7931', '7944', '8009', '9017', '9025', '9095', '9165', '9186', '9819', '10124', '10965', '11290', '11596', '12134', '12156', '12444', '12690', '13149', '13182', '13219', '13505', '13564', '13635', '13792', '13884', '14422', '14567', '14608', '14777', '14865', '15235', '2330', '3177', '3943', '4350', '4498', '4872', '4873', '4874', '4924', '4925', '5017', '5020', '5059', '8083', '11227', '11290', '11691', '12410', '13564', '3', '91', '109', '163', '330', '333', '342', '397', '455', '503', '562', '748', '837', '937', '942', '1030', '1066', '1078', '1097', '1099', '1102', '1293', '1312', '1334', '1413', '1506', '1611', '1739', '2122', '2226', '2375', '2394', '2411', '2412', '2431', '2438', '2448', '2523', '2530', '2572', '2578', '2597', '2636', '2713', '2720', '2822', '2845', '2870', '2877', '2906', '2927', '2965', '2976', '3025', '3037', '3107', '3165', '3177', '3203', '3260', '3308', '3435', '3506', '3531', '3734', '3808', '3822', '3823', '3826', '3837', '3869', '3872', '3896', '3936', '3943', '3986', '3993', '4002', '4020', '4044', '4050', '4056', '4157', '4158', '4222', '4256', '4285', '4345', '4498', '4541', '4550', '4556', '4580', '4681', '4736', '4872', '4874', '4878', '4924', '4925', '4933', '5015', '5017', '5020', '5059', '5080', '5248', '5264', '5265', '5460', '5486', '5503', '5507', '5509', '5559', '5572', '5595', '5643', '5659', '5825', '5828', '5879', '5901', '5903', '5907', '5956', '5966', '6002', '6011', '6080', '6090', '6107', '6132', '6153', '6231', '6242', '6250', '6256', '6261', '6314', '6315', '6319', '6415', '6438', '6528', '6529', '6602', '6668', '6728', '6850', '6943', '6950', '6959', '6975', '6979', '7019', '7025', '7137', '7213', '7223', '7420', '7447', '7610', '7639', '7657', '7671', '7684', '7797', '7831', '7996', '8034', '8050', '8083', '8155', '8271', '8576', '8787', '8796', '8888', '8905', '8929', '8937', '8960', '8962', '9017', '9030', '9057', '9059', '9077', '9083', '9120', '9181', '9186', '9213', '9228', '9258', '9290', '9295', '9309', '9463', '9494', '9687', '9690', '9793', '9816', '9927', '10012', '10070', '10129', '10230', '10231', '10279', '10315', '10323', '10386', '10566', '10628', '10678', '10700', '10737', '10832', '10990', '11040', '11057', '11071', '11092', '11172', '11227', '11290', '11500', '11578', '11679', '11691', '11790', '11976', '12107', '12131', '12266', '12296', '12369', '12374', '12386', '12396', '12410', '12411', '12427', '12594', '12661', '12680', '12688', '12728', '12774', '13080', '13121', '13139', '13149', '13173', '13316', '13377', '13460', '13505', '13564', '13726', '13730', '13756', '13766', '13791', '13823', '13833', '13907', '13988', '13994', '14034', '14078', '14093', '14330', '14607', '14615', '14619', '14777', '14952', '14989', '15004', '15111', '15125', '15138', '15174', '15213']"
1,132,1_pantry_food_campus_students,"['pantry', 'food', 'campus', 'students', 'the', 'or', 'our', 'we', 'to', 'have']","['Have the food pantry open to staff and faculty that need it. Have more healthy food available.', 'Have a food pantry on campus', 'Have a campus food pantry']","['3136', '164', '242', '266', '286', '313', '330', '342', '707', '945', '983', '1030', '1357', '1384', '1574', '1978', '2370', '2408', '2453', '2590', '2591', '2604', '2642', '2720', '2730', '2736', '2758', '2792', '3154', '3165', '3323', '3491', '3826', '3869', '3887', '3924', '4155', '4648', '5828', '5913', '5968', '6000', '6002', '6037', '6100', '6102', '6374', '6559', '6850', '6917', '7024', '7259', '7482', '7594', '7620', '7933', '7940', '7944', '7990', '8002', '8567', '8787', '8883', '9029', '9038', '9114', '9192', '9197', '9202', '9252', '9501', '9649', '10065', '10141', '10231', '10371', '10447', '10685', '10688', '10692', '10697', '10698', '10706', '10715', '10739', '10792', '10977', '11012', '11019', '11479', '11531', '11540', '11670', '11888', '12080', '12289', '12297', '12397', '12404', '12601', '13035', '13040', '13300', '13405', '13596', '13758', '13766', '13918', '13962', '13977', '14432', '14467', '14468', '14619', '15184', '2443', '2730', '2828', '5836', '5968', '6022', '6667', '6967', '8002', '8064', '8278', '9084', '9464', '10666', '11130', '13852', '14261']"
2,110,2_campus_on_options_healthy,"['campus', 'on', 'options', 'healthy', 'food', 'affordable', 'machines', 'snacks', 'provide', 'vending']","['have food options on campus', 'On campus options for food.', 'more food on campus and options']","['411', '2392', '2599', '3212', '8194', '13850', '15010', '15050', '134', '397', '647', '1057', '1060', '1109', '1126', '1320', '1342', '1379', '1423', '1565', '2056', '2409', '2414', '2437', '2469', '2509', '2532', '2548', '2619', '2621', '2737', '2748', '2805', '2810', '2828', '2873', '2977', '2998', '3163', '3256', '3269', '3698', '3964', '3970', '3976', '4045', '4047', '4292', '5238', '5378', '5659', '5811', '5885', '5915', '5966', '6001', '6025', '6069', '6136', '6294', '6346', '6388', '6393', '6530', '6608', '6702', '7037', '7097', '7275', '7420', '7701', '7906', '7908', '7937', '8264', '8371', '8925', '8947', '9054', '9057', '9200', '9436', '9790', '10020', '10116', '10173', '10177', '10216', '10265', '10315', '11879', '12183', '12411', '13034', '13180', '13206', '13283', '13765', '13891', '14925', '663', '1456', '3112', '4722', '6336', '6662', '6698', '9436', '10977', '14751']"
3,105,3_insecurity_housing_food_or,"['insecurity', 'housing', 'food', 'or', 'my', 'work', 'security', 'am', 'insecure', 'affect']","['I have no food or housing insecurity', 'I have no food or housing insecurity.', 'I do not have food or housing insecurity']","['150', '373', '562', '761', '1441', '1568', '1682', '2209', '2414', '2534', '2570', '2597', '2717', '2956', '3161', '3164', '3467', '3811', '3909', '4049', '4311', '4482', '4710', '4736', '4854', '5204', '5249', '5388', '6276', '6286', '6304', '6370', '6393', '6501', '6511', '6702', '6734', '6905', '6940', '6975', '7043', '7252', '8340', '8538', '8576', '8693', '8867', '9056', '9059', '9070', '9447', '9501', '9620', '9836', '10146', '10392', '10421', '10768', '11012', '11479', '11679', '11797', '12131', '12361', '12404', '12552', '12774', '12850', '13110', '13194', '13605', '13866', '13888', '14219', '14544', '15126', '15195', '4854', '5851', '5894', '7255', '7609', '9191', '13377', '14491', '957', '2637', '5853', '6170', '6173', '6657', '7350', '7809', '7998', '8031', '8120', '9048', '9620', '10108', '10318', '10363', '10768', '11629', '12850', '13906']"
4,92,4_housing_campus_dorms_dorm,"['housing', 'campus', 'dorms', 'dorm', 'students', 'student', 'for', 'in', 'they', 'build']","['More campus housing', ""Our motto is iCare which couldn't be further from the truth.  Administration tries to run the college like a business and only cares about the almighty $$$.  They are so anti-employee and anti-faculty which impacts the entire campus.  If they truly cared about our students, they would provide more food resources for our students and more assistance in other areas. When our students can't find housing, our student achievement center hands the student a piece of paper with numbers for apartment complexes.  If they cared, they would actually make phone calls, it would show they cared.  I also would like to see some temporary emergency housing offered for our students."", 'There is a serious housing shortage in town. The university has dorms for students and does make dorm rooms available to faculty and staff, but having a housing specialist to help people locate available housing and/or having university housing available for faculty/staff to buy or rent would make it possible for more people to work at the university. People routinely turn down job opportunities because they cannot find nearby housing.']","['1413', '5288', '13875', '653', '706', '973', '1013', '1093', '1288', '1362', '1367', '1623', '2209', '2342', '2468', '2546', '2622', '2930', '3024', '3113', '3355', '3410', '3430', '3517', '3855', '3882', '4053', '4065', '4256', '4442', '4708', '5719', '5813', '5836', '5880', '6061', '6313', '6444', '6491', '6662', '6674', '6866', '6868', '7639', '7684', '7728', '7751', '7816', '7821', '7887', '9027', '9028', '9046', '9113', '9121', '9157', '9185', '9258', '9376', '9420', '9531', '9570', '10088', '10498', '10622', '10965', '11045', '11130', '11752', '12165', '12257', '12817', '13233', '13278', '13305', '13462', '13910', '14411', '15100', '15130', '15195', '15201', '1226', '7234', '7600', '7881', '8364', '9192', '9272', '9333', '11909', '14988']"
5,90,5_hungry_eat_tired_concentrate,"['hungry', 'eat', 'tired', 'concentrate', 'focus', 'sometimes', 'skip', 'work', 'stomach', 'when']","['Hungry, tired', 'Too hungry and tired to focus sometimes', 'I get hungry...tired']","['164', '257', '298', '318', '342', '356', '403', '627', '828', '891', '942', '1059', '1167', '1194', '1293', '1315', '1362', '2260', '2370', '2410', '2560', '2620', '2737', '2757', '2881', '2906', '2946', '3112', '3154', '3479', '3489', '3752', '3916', '4056', '4124', '5429', '5585', '5816', '5827', '5904', '5953', '6117', '6129', '6272', '6371', '6444', '6464', '6732', '7006', '7008', '7047', '7144', '7177', '7185', '7193', '7256', '7274', '7482', '7615', '8001', '8186', '8416', '8896', '8969', '10112', '10177', '10408', '10792', '10813', '11863', '12110', '12207', '12478', '12705', '12821', '12898', '13105', '13180', '13226', '13796', '13867', '14001', '14879', '14999', '15000', '3489', '1453', '3489', '5852', '6599']"
6,76,6_pantry_food_continue_accessible,"['pantry', 'food', 'continue', 'accessible', 'expand', 'offer', 'the', 'provide', 'people', 'use']","['more food at the food pantry ', 'Food pantry', 'A food pantry ']","['108', '373', '425', '496', '674', '748', '819', '977', '1099', '1113', '1334', '2611', '2666', '2906', '3087', '3308', '3439', '3479', '3529', '3920', '4050', '4161', '4365', '5248', '5288', '5928', '5936', '5986', '6007', '6032', '6116', '6129', '6135', '6322', '6394', '6701', '6909', '7012', '7026', '7185', '7208', '7218', '7350', '8064', '8344', '8867', '8907', '9059', '9076', '9077', '9640', '10233', '10238', '10302', '10354', '10466', '10690', '10707', '10742', '12095', '12354', '12471', '13067', '13173', '13367', '13828', '13973', '14091', '14151', '14408', '14607', '14751', '15045', '2599', '7908', '8115']"
7,62,7_work_sometimes_focus_about,"['work', 'sometimes', 'focus', 'about', 'bills', 'stress', 'my', 'hard', 'worrying', 'lack']","['It can be hard to focus when you are stressed about bills.', 'I am not able to put forth my best self and my best work when I am hungry and stressing about how to pay the bills.  We are judged on how we ""show up"" and it\'s hard when your clothes are old, you need a haircut, you can\'t contribute to an office gift or potluck, can\'t afford the healthcare that you need, etc. I know that I could be doing more in my work if I wasn\'t carrying the weight of this stress with me all the time and I had the money that I need to take care of myself. ', 'Sometimes I cannot focus on work because I am working about how to pay bills and get food.']","['103', '522', '1041', '1118', '1287', '1737', '1776', '2374', '2533', '2639', '2686', '2720', '2873', '3702', '3837', '3878', '4558', '4681', '5813', '5825', '5836', '5845', '6028', '6491', '6703', '6865', '6875', '7019', '7097', '7138', '7628', '7652', '7696', '8178', '8899', '8966', '8968', '9005', '9172', '9262', '9568', '9645', '9776', '10084', '10199', '10216', '10242', '10316', '10586', '10713', '11909', '12674', '13057', '13094', '13291', '13969', '13992', '14406', '14573', '10221', '11463', '14004']"
8,58,8_students_resources_them_more,"['students', 'resources', 'them', 'more', 'academic', 'reach', 'school', 'help', 'support', 'available']","['I feel they do enough for students. It is up the students to reach out to resources. ', 'have more resources for students ', 'More awareness of LoboPantry - I became more aware of it during the pandemic. Continue raising more visibility to faculty if resources to support students. Consider how the fragmentation of information across JNMâ€™s website might lead to missed opportunities to support students. Consider a UX designer consult for our website.']","['6247', '115', '852', '1014', '1427', '2156', '2167', '2321', '2589', '3164', '3452', '3905', '4205', '5015', '5078', '5093', '5269', '5941', '6054', '6240', '6284', '6314', '6326', '6355', '6399', '6599', '6658', '6714', '7847', '8278', '8479', '8896', '9070', '9074', '9290', '10666', '10700', '11596', '12109', '12746', '13039', '13260', '13756', '13798', '14809', '15235', '410', '459', '589', '2757', '5599', '6393', '6427', '9507', '9776', '9836', '11287', '13706']"
