Topic,Count,Name,Representation,Representative_Docs
-1,1033,-1_to_and_for_the,"['to', 'and', 'for', 'the', 'in', 'students', 'have', 'of', 'food', 'that']","[""My family lives in Las Cruces and I live in Socorro five days out of the week to work here. I leave for work at 5 am on Monday and go back home 5 pm on Friday. I have a toddler and a girlfriend going to university full-time. I can't marry because they'll lose the goverment assistance they need to get by. They can't move here because there is no support system in Soccorro like there is for them in Cruces. \nI am spending money on two rents. I'm in a very unique situation, but it's difficult and it doesn't seem like the university understands. This paycheck isn't enough and the department I work in is going to keep having problems filling this role because people are going to take this job and move on when another place offers more. That's not efficient because the job I have requires a lot of training to become proficient. "", ""Northern needs to pay their staff more. We do so much in our office who is short staffed and we are not getting enough pay. My office as well as others in Student Services have been stressed and tired and some just don't think its is worth it to stay here, that is why we lose so many good collogues. We also should be able to receive a certain amount of mental health days to use to recuperate and destress. If we were paid more, we wouldn't have to worry about not paying our rent/mortgage or bills on time, which would cut down on stress therefore increasing better productivity in all offices "", 'I have a good support system and am lucky enough to receive Medicaid, but if I did not have those I cannot imagine where I would be. Many people attending universities have a lot less. UNM has some programs to help their students, but they are still very expensive which is by far the biggest obstacle for students. I attended college there in my mid 20s so I had no scholarship even though I was a great student with great grades. I now have student loans I will be paying off for the next few decades. Making college classes less expensive, having cheaper parking passes, and better scholarships would go a long way to making housing and food more secure. SO much money went into my education and even more with interest will, too. Books, supplies, transportation, less working hours, and time away from home all cost money, too.']"
0,385,0_no_yes_sã_lo,"['no', 'yes', 'sã', 'lo', '', '', '', '', '', '']","['no', 'No', 'No']"
1,236,1_pay_increase_inflation_wages,"['pay', 'increase', 'inflation', 'wages', 'raise', 'employees', 'living', 'salaries', 'salary', 'higher']","['Increase pay', 'Increase pay. ', 'raise salaries to meet inflation and pay a living wage']"
2,132,2_pantry_food_vouchers_the,"['pantry', 'food', 'vouchers', 'the', 'more', 'drives', 'continue', 'items', 'donate', 'pantries']","['more food at the food pantry ', 'Food pantry', 'A food pantry ']"
3,128,3_pantry_food_campus_the,"['pantry', 'food', 'campus', 'the', 'students', 'that', 'they', 'or', 'have', 'to']","[""Food desert studies\nFood trucks\nAgriculture projects\nBy in security It's short lived it was because of a natural disaster and unaccounted for event. But the things I hear from my students give me nightmares AB one student on the Hopi reservation in 2021 who called me to tell me what the variety of fresh vegetables they had they went into a gas station which is the closest place to buy food by hours to where this person lives And they took a picture of what they showed me was really disgusting looking bell peppers and onions some garlic and some potatoes. That's all they had on the shelf. And I mean it wasn't even as much as what I would put in my refrigerator for my family of 4 for 2 or 3 days and that was all they had access to after traveling for hours. I'll never get over the things I heard during a pandemic from my students I'll never forget them telling me on Easten that they didn't have baby formula or diapers had to drive hours and hours it's kind of sneakout and go camp near grocery stores so that they could hit up all the grocery stores they could to get as much of the stuff that they could to bring it back to the reservation. I'll never forget when my student who had 4 kids of their own and the their sister commit suicide and so she's not getting all of her kids so instantly she has 7 kids and it's the pandemic and she couldn't get formula I mean 3 of the 7 kids were under 2. I only want to be concerned with this teaching people I don't have to be thinking about if they have diapers and far below food for their kids. That's why during 2020 I grew a lot of vegetables between the rows of my hip and I don't need those vegetables to local shelters homeless shelters and I trucked some out to the nation. The conditions of boys benefit or miss from a students there's food deserts there's inequity in food lake at a level that is unpalatable For any caring human being. That's why I think we should have food trucks and it should be fresh fruits and fresh vegetables and we should have agricultural projects where we teach people to grow fruits of vegetables. And to help farmers distribute their product and to have more diversity in what they have and give them places for their produce to be sold directly. "", 'Have a food pantry on campus', 'Have a campus food pantry']"
4,102,4_resources_available_students_more,"['resources', 'available', 'students', 'more', 'them', 'help', 'support', 'need', 'academic', 'to']","['provide more resources for the community ', 'More resources ', 'have more resources for students ']"
5,99,5_campus_on_options_healthy,"['campus', 'on', 'options', 'healthy', 'food', 'snack', 'snacks', 'machines', 'affordable', 'bar']","['more food on campus and options', 'On campus options for food.', 'have food options on campus']"
6,91,6_hungry_eat_tired_concentrate,"['hungry', 'eat', 'tired', 'concentrate', 'focus', 'sometimes', 'skip', 'work', 'stomach', 'when']","['Hungry, tired', 'I get hungry...tired', 'Too hungry and tired to focus sometimes']"
7,73,7_housing_campus_dorm_dorms,"['housing', 'campus', 'dorm', 'dorms', 'build', 'faculty', 'student', 'low', 'for', 'students']","['On campus housing?', 'More campus housing', 'There is a serious housing shortage in town. The university has dorms for students and does make dorm rooms available to faculty and staff, but having a housing specialist to help people locate available housing and/or having university housing available for faculty/staff to buy or rent would make it possible for more people to work at the university. People routinely turn down job opportunities because they cannot find nearby housing.']"
8,66,8_work_focus_about_bills,"['work', 'focus', 'about', 'bills', 'my', 'stress', 'hard', 'worrying', 'sometimes', 'anxiety']","['It can be hard to focus when you are stressed about bills.', 'I am not able to put forth my best self and my best work when I am hungry and stressing about how to pay the bills.  We are judged on how we ""show up"" and it\'s hard when your clothes are old, you need a haircut, you can\'t contribute to an office gift or potluck, can\'t afford the healthcare that you need, etc. I know that I could be doing more in my work if I wasn\'t carrying the weight of this stress with me all the time and I had the money that I need to take care of myself. ', 'Sometimes I cannot focus on work because I am working about how to pay bills and get food.']"
