# 
#     Column Definitions:
#     - Total Potential Responses: All survey participants, including those who left the question blank.
#     - Non-empty Responses: All responses that are not null or empty string.
#     - Informative Responses: Responses that are not classified as non-informative (e.g., not "N/A", "No comment", etc.).
#     - Other Responses: Responses that include a write-in for "Other" in multiple-choice questions.
#     - Response: Individual informative responses, with each response on a separate row.
#     
"Question","Institution","Total Potential Responses","Non-empty Responses","Informative Responses","Other Responses","Response"
"Please select the reasons for not visiting the campus food pantry.","Central New Mexico Community College","310","261","261","7","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other', ""Other: Didn't need to""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other', 'Other: Not a current student']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['The location is inconvenient']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other', ""Other: I don't need to use; its for those others who do""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['The location is inconvenient']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""Other students need this help more than I do, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other', ""Other: Note:  as a faculty member, I have referred a student to the CNM Food Pantry.  I'm so glad it is there.""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I visit another food pantry/food bank in my community, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['The location is inconvenient']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['The hours of operation for the campus food pantry do not work for me, Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other', 'Other: No need']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies, Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""The hours of operation for the campus food pantry do not work for me, I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['Other students need this help more than I do']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","[""I don't want other people to see me and know that I am food insecure""]"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['Other', 'Other: Cuido de mi mama que esta enferma y en silla de ruedas']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
"","","","","","","['I do not need assistance with obtaining food and household supplies']"
