# 
#     Column Definitions:
#     - Total Potential Responses: All survey participants, including those who left the question blank.
#     - Non-empty Responses: All responses that are not null or empty string.
#     - Informative Responses: Responses that are not classified as non-informative (e.g., not "N/A", "No comment", etc.).
#     - Response: Individual informative responses, with each response on a separate row.
#     
"Question","Institution","Total Potential Responses","Non-empty Responses","Informative Responses","Response"
"How is food or housing insecurity affecting your work?","Central New Mexico Community College","390","153","130","I often can't concentrate because I don't have enough to eat"
"","","","","","I worry about bills every moth. Living month to month."
"","","","","","I had to move this year, which caused my rent to go up 2.5 times what I was paying. My job switched prescription coverage, which caused the cost of the generic prescription I need for my mental health to go from $5 a month to almost $100 a month."
"","","","","","doesn't"
"","","","","","I try not to let it affect my work"
"","","","","","No affect"
"","","","","","I would not describe myself as food or housing insecure."
"","","","","","Being able to work remote some day of the week is very helpful."
"","","","","","Wages not in line with industry standards"
"","","","","","I tend to help my adult children who still live in the home with lunches and food and if they go without I don't do well at work."
"","","","","","prefer not to answer"
"","","","","","I need a job with a better salary. Why should I care about a job that barely pays me enough to scrape by. "
"","","","","","I work a lot to ensure there is no insecurity but the amount of jobs cuts into my studies. It will prolong how long I will take to finish my program. "
"","","","","","It is not affecting my work."
"","","","","","It isn't."
"","","","","","It doesn't affect my work at this time."
"","","","","","I cannot drive to work all 5 days"
"","","","","","I am constantly worried that I will lose my house or I will go home to no electricity or gas."
"","","","","","I have to be sure I dont miss a day or get sick because my leave may not cover my absence and leave me less on my pay."
"","","","","","If the rent goes up again after my lease is up, I probably won't be able to keep working at CNM"
"","","","","","More stress"
"","","","","","Hungry at work and can't concentrate."
"","","","","","no"
"","","","","","no"
"","","","","","It makes it hard to concentrate on my job. "
"","","","","","Need better pay with this rising inflation. "
"","","","","","Currently it is not"
"","","","","","Most of the people are suffering from high grocery store expenses."
"","","","","","it's not"
"","","","","","mental stress causes distraction"
"","","","","","Worry and focus on problem than performing well."
"","","","","","It hasn't."
"","","","","","it is not"
"","","","","","I am in a situation where food or housing does not affect my work, luckily. "
"","","","","","Not severly.  Sometimes hungry with no money for lunch."
